code,kokyozahyo_area
27102,0
27103,0
27104,0
27107,0
27108,0
27109,0
27111,0
27113,0
27117,0
27118,0
27122,0
27123,0
27124,0
27125,0
27126,0
27127,0
27128,0
27141,2
27142,0
27143,0
27144,0
27145,0
27146,0
27147,0
27202,0
27203,0
27204,0
27205,0
27206,0
27207,0
27208,0
27209,0
27210,0
27211,0
27212,0
27213,3
27214,0
27215,0
27216,0
27217,0
27218,0
27219,0
27220,0
27223,0
27224,0
27225,0
27226,0
27227,0
27228,0
27229,0
27230,0
27231,0
27232,0
27301,0
27321,0
27322,0
27361,0
27362,0
27366,0
27381,0
27382,0
27383,0
