code,total_area
10,6374845617.474968
11,3805597400.7472205
12,5169877107.804222
13,2185116800.2929697
14,2421515551.6773057
15,12602528425.277874
16,4262792026.3673806
17,4194072022.2256346
18,4199405851.4467254
19,4480324794.971061
20,13582571012.980253
21,10644455248.026098
22,7789935502.303294
23,5182157963.023203
24,5788506418.287777
25,4026004730.486909
26,4622594523.358657
27,1909847589.5723205
28,8420286594.309069
29,3700016864.9384685
30,4736683379.027352
31,3514960385.1015553
32,6723649408.366525
33,7131599207.277775
34,8499931740.408079
35,6127768993.556203
36,4157311962.2022605
37,1880741269.935036
38,5691072773.201989
39,7122460055.14063
40,4999731323.794064
41,2447244400.8152
42,4142036757.079242
43,7430536355.265027
44,6357681096.851013
45,7757656438.706205
46,9216244451.34152
47,2290446856.797277
01,83454960614.35966
02,9655278253.256983
03,15294301007.692421
04,7291010286.271456
05,11651916028.98603
06,9342848349.750387
07,13808221672.543047
08,6109612343.38327
09,6420481177.807461
